UDI,Product ID,Type,date,TWF,HDF,PWF,OSF,RNF,avg_sea_level_pres_hpa_roll_mean,avg_sea_level_pres_hpa_roll_std,avg_sea_level_pres_hpa_roll_var
52,L47231,L,2020-01-03,0,0,0,0,0,1014.1600000000001,0.5813776741499018,0.3379999999999494
53,H29466,H,2020-01-03,0,0,0,0,0,1013.9,0.0,0.0
54,L47233,L,2020-01-03,0,0,0,0,0,1013.9,0.0,0.0
55,L47234,L,2020-01-03,0,0,0,0,0,1013.9,0.0,0.0
56,L47235,L,2020-01-03,0,0,0,0,0,1013.9,0.0,0.0
57,L47236,L,2020-01-03,0,0,0,0,0,1013.9,0.0,0.0
58,L47237,L,2020-01-03,0,0,0,0,0,1013.9,0.0,0.0
59,M14918,M,2020-01-03,0,0,0,0,0,1013.9,0.0,0.0
60,L47239,L,2020-01-03,0,0,0,0,0,1013.9,0.0,0.0
61,L47240,L,2020-01-03,0,0,0,0,0,1013.9,0.0,0.0
62,M14921,M,2020-01-03,0,0,0,0,0,1013.9,0.0,0.0
63,L47242,L,2020-01-03,0,0,0,0,0,1013.9,0.0,0.0
64,M14923,M,2020-01-03,0,0,0,0,0,1013.9,0.0,0.0
65,L47244,L,2020-01-03,0,0,0,0,0,1013.9,0.0,0.0
66,L47245,L,2020-01-03,0,0,0,0,0,1013.9,0.0,0.0
67,M14926,M,2020-01-03,0,0,0,0,0,1013.9,0.0,0.0
68,H29481,H,2020-01-03,0,0,0,0,0,1013.9,0.0,0.0
69,L47248,L,2020-01-03,0,0,0,0,0,1013.9,0.0,0.0
70,L47249,L,2020-01-03,0,0,1,1,0,1013.9,0.0,0.0
71,M14930,M,2020-01-03,0,0,0,0,0,1013.9,0.0,0.0
72,L47251,L,2020-01-03,0,0,0,0,0,1013.9,0.0,0.0
73,L47252,L,2020-01-04,0,0,0,0,0,1013.5200000000001,0.84970583144991,0.7219999999999828
74,L47253,L,2020-01-04,0,0,0,0,0,1013.14,1.040672859259798,1.0829999999999633
75,L47254,L,2020-01-04,0,0,0,0,0,1012.76,1.0406728592598082,1.0829999999999849
76,L47255,L,2020-01-04,0,0,0,0,0,1012.3799999999999,0.8497058314499226,0.7220000000000043
77,L47256,L,2020-01-04,0,0,0,0,0,1012.0,0.0,0.0
78,L47257,L,2020-01-04,1,0,0,0,0,1012.0,0.0,0.0
79,L47258,L,2020-01-04,0,0,0,0,0,1012.0,0.0,0.0
80,L47259,L,2020-01-04,0,0,0,0,0,1012.0,0.0,0.0
81,H29494,H,2020-01-04,0,0,0,0,0,1012.0,0.0,0.0
82,L47261,L,2020-01-04,0,0,0,0,0,1012.0,0.0,0.0
83,L47262,L,2020-01-04,0,0,0,0,0,1012.0,0.0,0.0
84,L47263,L,2020-01-04,0,0,0,0,0,1012.0,0.0,0.0
85,L47264,L,2020-01-04,0,0,0,0,0,1012.0,0.0,0.0
86,M14945,M,2020-01-04,0,0,0,0,0,1012.0,0.0,0.0
87,H29500,H,2020-01-04,0,0,0,0,0,1012.0,0.0,0.0
88,L47267,L,2020-01-04,0,0,0,0,0,1012.0,0.0,0.0
89,M14948,M,2020-01-04,0,0,0,0,0,1012.0,0.0,0.0
90,M14949,M,2020-01-04,0,0,0,0,0,1012.0,0.0,0.0
91,L47270,L,2020-01-04,0,0,0,0,0,1012.0,0.0,0.0
92,L47271,L,2020-01-04,0,0,0,0,0,1012.0,0.0,0.0
93,M14952,M,2020-01-04,0,0,0,0,0,1012.0,0.0,0.0
94,L47273,L,2020-01-04,0,0,0,0,0,1012.0,0.0,0.0
95,L47274,L,2020-01-04,0,0,0,0,0,1012.0,0.0,0.0
96,M14955,M,2020-01-04,0,0,0,0,0,1012.0,0.0,0.0
97,M14956,M,2020-01-05,0,0,0,0,0,1012.0799999999999,0.17888543819996028,0.03199999999999181
98,M14957,M,2020-01-05,0,0,0,0,0,1012.1600000000001,0.21908902300203972,0.04799999999998829
99,L47278,L,2020-01-05,0,0,0,0,0,1012.24,0.21908902300206307,0.04799999999999852
100,L47279,L,2020-01-05,0,0,0,0,0,1012.32,0.1788854382000461,0.03200000000002251
101,L47280,L,2020-01-05,0,0,0,0,0,1012.4,2.4547373517658317e-07,6.02573546615433e-14
102,L47281,L,2020-01-05,0,0,0,0,0,1012.4,2.4547373517658317e-07,6.02573546615433e-14
103,L47282,L,2020-01-05,0,0,0,0,0,1012.4,2.4547373517658317e-07,6.02573546615433e-14
104,M14963,M,2020-01-05,0,0,0,0,0,1012.4,2.4547373517658317e-07,6.02573546615433e-14
105,L47284,L,2020-01-05,0,0,0,0,0,1012.4,2.4547373517658317e-07,6.02573546615433e-14
106,L47285,L,2020-01-05,0,0,0,0,0,1012.4,2.4547373517658317e-07,6.02573546615433e-14
107,L47286,L,2020-01-05,0,0,0,0,0,1012.4,2.4547373517658317e-07,6.02573546615433e-14
108,M14967,M,2020-01-05,0,0,0,0,0,1012.4,2.4547373517658317e-07,6.02573546615433e-14
109,H29522,H,2020-01-05,0,0,0,0,0,1012.4,2.4547373517658317e-07,6.02573546615433e-14
110,L47289,L,2020-01-05,0,0,0,0,0,1012.4,2.4547373517658317e-07,6.02573546615433e-14
111,L47290,L,2020-01-05,0,0,0,0,0,1012.4,2.4547373517658317e-07,6.02573546615433e-14
112,H29525,H,2020-01-05,0,0,0,0,0,1012.4,2.4547373517658317e-07,6.02573546615433e-14
113,M14972,M,2020-01-05,0,0,0,0,0,1012.4,2.4547373517658317e-07,6.02573546615433e-14
114,M14973,M,2020-01-05,0,0,0,0,0,1012.4,2.4547373517658317e-07,6.02573546615433e-14
115,L47294,L,2020-01-05,0,0,0,0,0,1012.4,2.4547373517658317e-07,6.02573546615433e-14
116,L47295,L,2020-01-05,0,0,0,0,0,1012.4,2.4547373517658317e-07,6.02573546615433e-14
117,L47296,L,2020-01-05,0,0,0,0,0,1012.4,2.4547373517658317e-07,6.02573546615433e-14
118,L47297,L,2020-01-05,0,0,0,0,0,1012.4,2.4547373517658317e-07,6.02573546615433e-14
119,M14978,M,2020-01-05,0,0,0,0,0,1012.4,2.4547373517658317e-07,6.02573546615433e-14
120,L47299,L,2020-01-05,0,0,0,0,0,1012.4,2.4547373517658317e-07,6.02573546615433e-14
121,L47300,L,2020-01-06,0,0,0,0,0,1012.8399999999999,0.9838699101001174,0.968000000000413
122,L47301,L,2020-01-06,0,0,0,0,0,1013.28,1.2049896265116968,1.4520000000007989
123,L47302,L,2020-01-06,0,0,0,0,0,1013.72,1.2049896265118578,1.4520000000011866
124,L47303,L,2020-01-06,0,0,0,0,0,1014.1600000000001,0.9838699101006751,0.9680000000015105
125,L47304,L,2020-01-06,0,0,0,0,0,1014.6,1.3306745289418752e-06,1.7706947019746816e-12
126,L47305,L,2020-01-06,0,0,0,0,0,1014.6,1.3306745289418752e-06,1.7706947019746816e-12
127,L47306,L,2020-01-06,0,0,0,0,0,1014.6,1.3306745289418752e-06,1.7706947019746816e-12
128,L47307,L,2020-01-06,0,0,0,0,0,1014.6,1.3306745289418752e-06,1.7706947019746816e-12
129,L47308,L,2020-01-06,0,0,0,0,0,1014.6,1.3306745289418752e-06,1.7706947019746816e-12
130,L47309,L,2020-01-06,0,0,0,0,0,1014.6,1.3306745289418752e-06,1.7706947019746816e-12
131,L47310,L,2020-01-06,0,0,0,0,0,1014.6,1.3306745289418752e-06,1.7706947019746816e-12
132,L47311,L,2020-01-06,0,0,0,0,0,1014.6,1.3306745289418752e-06,1.7706947019746816e-12
133,M14992,M,2020-01-06,0,0,0,0,0,1014.6,1.3306745289418752e-06,1.7706947019746816e-12
134,M14993,M,2020-01-06,0,0,0,0,0,1014.6,1.3306745289418752e-06,1.7706947019746816e-12
135,L47314,L,2020-01-06,0,0,0,0,0,1014.6,1.3306745289418752e-06,1.7706947019746816e-12
136,M14995,M,2020-01-06,0,0,0,0,0,1014.6,1.3306745289418752e-06,1.7706947019746816e-12
137,H29550,H,2020-01-06,0,0,0,0,0,1014.6,1.3306745289418752e-06,1.7706947019746816e-12
138,L47317,L,2020-01-06,0,0,0,0,0,1014.6,1.3306745289418752e-06,1.7706947019746816e-12
139,H29552,H,2020-01-06,0,0,0,0,0,1014.6,1.3306745289418752e-06,1.7706947019746816e-12
140,L47319,L,2020-01-06,0,0,0,0,0,1014.6,1.3306745289418752e-06,1.7706947019746816e-12
141,L47320,L,2020-01-06,0,0,0,0,0,1014.6,1.3306745289418752e-06,1.7706947019746816e-12
142,L47321,L,2020-01-06,0,0,0,0,0,1014.6,1.3306745289418752e-06,1.7706947019746816e-12
143,M15002,M,2020-01-06,0,0,0,0,0,1014.6,1.3306745289418752e-06,1.7706947019746816e-12
144,H29557,H,2020-01-06,0,0,0,0,0,1014.6,1.3306745289418752e-06,1.7706947019746816e-12
145,M15004,M,2020-01-07,0,0,0,0,0,1014.5200000000001,0.1788854382047697,0.032000000001712485
146,L47325,L,2020-01-07,0,0,0,0,0,1014.4400000000002,0.219089023005833,0.04800000000165042
147,H29560,H,2020-01-07,0,0,0,0,0,1014.36,0.2190890230056825,0.04800000000158448
148,L47327,L,2020-01-07,0,0,0,0,0,1014.28,0.17888543820422476,0.032000000001517516
149,M15008,M,2020-01-07,0,0,0,0,0,1014.2,1.2100858819305586e-06,1.4643078416476579e-12
150,L47329,L,2020-01-07,0,0,0,0,0,1014.2,1.2100858819305586e-06,1.4643078416476579e-12
151,L47330,L,2020-01-07,0,0,0,0,0,1014.2,1.2100858819305586e-06,1.4643078416476579e-12
152,M15011,M,2020-01-07,0,0,0,0,0,1014.2,1.2100858819305586e-06,1.4643078416476579e-12
153,M15012,M,2020-01-07,0,0,0,0,0,1014.2,1.2100858819305586e-06,1.4643078416476579e-12
154,L47333,L,2020-01-07,0,0,0,0,0,1014.2,1.2100858819305586e-06,1.4643078416476579e-12
155,L47334,L,2020-01-07,0,0,0,0,0,1014.2,1.2100858819305586e-06,1.4643078416476579e-12
156,H29569,H,2020-01-07,0,0,0,0,0,1014.2,1.2100858819305586e-06,1.4643078416476579e-12
157,M15016,M,2020-01-07,0,0,0,0,0,1014.2,1.2100858819305586e-06,1.4643078416476579e-12
158,H29571,H,2020-01-07,0,0,0,0,0,1014.2,1.2100858819305586e-06,1.4643078416476579e-12
159,M15018,M,2020-01-07,0,0,0,0,0,1014.2,1.2100858819305586e-06,1.4643078416476579e-12
160,L47339,L,2020-01-07,0,0,0,0,0,1014.2,1.2100858819305586e-06,1.4643078416476579e-12
161,L47340,L,2020-01-07,0,0,0,1,0,1014.2,1.2100858819305586e-06,1.4643078416476579e-12
162,L47341,L,2020-01-07,0,0,0,1,0,1014.2,1.2100858819305586e-06,1.4643078416476579e-12
163,L47342,L,2020-01-07,0,0,0,0,0,1014.2,1.2100858819305586e-06,1.4643078416476579e-12
164,M15023,M,2020-01-07,0,0,0,0,0,1014.2,1.2100858819305586e-06,1.4643078416476579e-12
165,M15024,M,2020-01-07,0,0,0,0,0,1014.2,1.2100858819305586e-06,1.4643078416476579e-12
166,L47345,L,2020-01-07,0,0,0,0,0,1014.2,1.2100858819305586e-06,1.4643078416476579e-12
167,H29580,H,2020-01-07,0,0,0,0,0,1014.2,1.2100858819305586e-06,1.4643078416476579e-12
168,H29581,H,2020-01-07,0,0,0,0,0,1014.2,1.2100858819305586e-06,1.4643078416476579e-12
169,L47348,L,2020-01-08,0,0,1,0,0,1014.14,0.13416407865537971,0.018000000001446914
170,L47349,L,2020-01-08,0,0,0,0,0,1014.0800000000002,0.1643167672558743,0.027000000001421165
171,M15030,M,2020-01-08,0,0,0,0,0,1014.0200000000001,0.16431676725577052,0.02700000000138706
172,L47351,L,2020-01-08,0,0,0,0,0,1013.96,0.1341640786549984,0.0180000000013446
173,M15032,M,2020-01-08,0,0,0,0,0,1013.9,1.137444967685112e-06,1.2937810545121858e-12
174,M15033,M,2020-01-08,0,0,0,0,0,1013.9,1.137444967685112e-06,1.2937810545121858e-12
175,L47354,L,2020-01-08,0,0,0,0,0,1013.9,1.137444967685112e-06,1.2937810545121858e-12
176,L47355,L,2020-01-08,0,0,0,0,0,1013.9,1.137444967685112e-06,1.2937810545121858e-12
177,L47356,L,2020-01-08,0,0,0,0,0,1013.9,1.137444967685112e-06,1.2937810545121858e-12
178,L47357,L,2020-01-08,0,0,0,0,0,1013.9,1.137444967685112e-06,1.2937810545121858e-12
179,L47358,L,2020-01-08,0,0,0,0,0,1013.9,1.137444967685112e-06,1.2937810545121858e-12
180,L47359,L,2020-01-08,0,0,0,0,0,1013.9,1.137444967685112e-06,1.2937810545121858e-12
181,L47360,L,2020-01-08,0,0,0,0,0,1013.9,1.137444967685112e-06,1.2937810545121858e-12
182,H29595,H,2020-01-08,0,0,0,0,0,1013.9,1.137444967685112e-06,1.2937810545121858e-12
183,M15042,M,2020-01-08,0,0,0,0,0,1013.9,1.137444967685112e-06,1.2937810545121858e-12
184,L47363,L,2020-01-08,0,0,0,0,0,1013.9,1.137444967685112e-06,1.2937810545121858e-12
185,L47364,L,2020-01-08,0,0,0,0,0,1013.9,1.137444967685112e-06,1.2937810545121858e-12
186,L47365,L,2020-01-08,0,0,0,0,0,1013.9,1.137444967685112e-06,1.2937810545121858e-12
187,L47366,L,2020-01-08,0,0,0,0,0,1013.9,1.137444967685112e-06,1.2937810545121858e-12
188,L47367,L,2020-01-08,0,0,0,0,0,1013.9,1.137444967685112e-06,1.2937810545121858e-12
189,L47368,L,2020-01-08,0,0,0,0,0,1013.9,1.137444967685112e-06,1.2937810545121858e-12
190,M15049,M,2020-01-08,0,0,0,0,0,1013.9,1.137444967685112e-06,1.2937810545121858e-12
191,L47370,L,2020-01-08,0,0,0,0,0,1013.9,1.137444967685112e-06,1.2937810545121858e-12
192,L47371,L,2020-01-08,0,0,0,0,0,1013.9,1.137444967685112e-06,1.2937810545121858e-12
193,H29606,H,2020-01-09,0,0,0,0,0,1013.8399999999999,0.13416407865462981,0.018000000001245693
194,H29607,H,2020-01-09,0,0,0,0,0,1013.78,0.16431676725518027,0.027000000001193084
195,M15054,M,2020-01-09,0,0,1,0,0,1013.72,0.16431676725501942,0.02700000000114022
196,L47375,L,2020-01-09,0,0,0,0,0,1013.6600000000001,0.13416407865407212,0.01800000000109605
197,H29610,H,2020-01-09,0,0,0,0,0,1013.6,1.0298440212914147e-06,1.0605787081896717e-12
198,M15057,M,2020-01-09,0,0,0,0,0,1013.6,1.0298440212914147e-06,1.0605787081896717e-12
199,L47378,L,2020-01-09,0,0,0,0,0,1013.6,1.0298440212914147e-06,1.0605787081896717e-12
200,L47379,L,2020-01-09,0,0,0,0,0,1013.6,1.0298440212914147e-06,1.0605787081896717e-12
201,L47380,L,2020-01-09,0,0,0,0,0,1013.6,1.0298440212914147e-06,1.0605787081896717e-12
202,L47381,L,2020-01-09,0,0,0,0,0,1013.6,1.0298440212914147e-06,1.0605787081896717e-12
203,M15062,M,2020-01-09,0,0,0,0,0,1013.6,1.0298440212914147e-06,1.0605787081896717e-12
204,L47383,L,2020-01-09,0,0,0,0,0,1013.6,1.0298440212914147e-06,1.0605787081896717e-12
205,L47384,L,2020-01-09,0,0,0,0,0,1013.6,1.0298440212914147e-06,1.0605787081896717e-12
206,M15065,M,2020-01-09,0,0,0,0,0,1013.6,1.0298440212914147e-06,1.0605787081896717e-12
207,L47386,L,2020-01-09,0,0,0,0,0,1013.6,1.0298440212914147e-06,1.0605787081896717e-12
208,M15067,M,2020-01-09,0,0,1,0,0,1013.6,1.0298440212914147e-06,1.0605787081896717e-12
209,L47388,L,2020-01-09,0,0,0,0,0,1013.6,1.0298440212914147e-06,1.0605787081896717e-12
210,L47389,L,2020-01-09,0,0,0,0,0,1013.6,1.0298440212914147e-06,1.0605787081896717e-12
211,L47390,L,2020-01-09,0,0,0,0,0,1013.6,1.0298440212914147e-06,1.0605787081896717e-12
212,L47391,L,2020-01-09,0,0,0,0,0,1013.6,1.0298440212914147e-06,1.0605787081896717e-12
213,H29626,H,2020-01-09,0,0,0,0,0,1013.6,1.0298440212914147e-06,1.0605787081896717e-12
214,L47393,L,2020-01-09,0,0,0,0,0,1013.6,1.0298440212914147e-06,1.0605787081896717e-12
215,M15074,M,2020-01-09,0,0,0,0,0,1013.6,1.0298440212914147e-06,1.0605787081896717e-12
216,L47395,L,2020-01-09,0,0,0,0,0,1013.6,1.0298440212914147e-06,1.0605787081896717e-12
217,L47396,L,2020-01-10,0,0,0,0,0,1013.72,0.268328157302101,0.07200000000114107
218,L47397,L,2020-01-10,0,0,0,0,0,1013.8400000000001,0.3286335345049385,0.1080000000012086
219,L47398,L,2020-01-10,0,0,0,0,0,1013.96,0.3286335345050423,0.10800000000127681
220,M15079,M,2020-01-10,0,0,0,0,0,1014.0799999999999,0.26832815730248233,0.07200000000134571
221,L47400,L,2020-01-10,0,0,0,0,0,1014.2,1.1839099166750253e-06,1.4016426908014652e-12
222,H29635,H,2020-01-10,0,0,0,0,0,1014.2,1.1839099166750253e-06,1.4016426908014652e-12
223,L47402,L,2020-01-10,0,0,0,0,0,1014.2,1.1839099166750253e-06,1.4016426908014652e-12
224,L47403,L,2020-01-10,0,0,0,0,0,1014.2,1.1839099166750253e-06,1.4016426908014652e-12
225,L47404,L,2020-01-10,0,0,0,0,0,1014.2,1.1839099166750253e-06,1.4016426908014652e-12
226,L47405,L,2020-01-10,0,0,0,0,0,1014.2,1.1839099166750253e-06,1.4016426908014652e-12
227,L47406,L,2020-01-10,0,0,0,0,0,1014.2,1.1839099166750253e-06,1.4016426908014652e-12
228,L47407,L,2020-01-10,0,0,0,0,0,1014.2,1.1839099166750253e-06,1.4016426908014652e-12
229,M15088,M,2020-01-10,0,0,0,0,0,1014.2,1.1839099166750253e-06,1.4016426908014652e-12
230,L47409,L,2020-01-10,0,0,0,0,0,1014.2,1.1839099166750253e-06,1.4016426908014652e-12
231,L47410,L,2020-01-10,0,0,0,0,0,1014.2,1.1839099166750253e-06,1.4016426908014652e-12
232,L47411,L,2020-01-10,0,0,0,0,0,1014.2,1.1839099166750253e-06,1.4016426908014652e-12
233,L47412,L,2020-01-10,0,0,0,0,0,1014.2,1.1839099166750253e-06,1.4016426908014652e-12
234,L47413,L,2020-01-10,0,0,0,0,0,1014.2,1.1839099166750253e-06,1.4016426908014652e-12
235,L47414,L,2020-01-10,0,0,0,0,0,1014.2,1.1839099166750253e-06,1.4016426908014652e-12
236,M15095,M,2020-01-10,0,0,0,0,0,1014.2,1.1839099166750253e-06,1.4016426908014652e-12
237,L47416,L,2020-01-10,0,0,0,0,0,1014.2,1.1839099166750253e-06,1.4016426908014652e-12
238,M15097,M,2020-01-10,0,0,0,0,0,1014.2,1.1839099166750253e-06,1.4016426908014652e-12
239,L47418,L,2020-01-10,0,0,0,0,0,1014.2,1.1839099166750253e-06,1.4016426908014652e-12
240,L47419,L,2020-01-10,0,0,0,0,0,1014.2,1.1839099166750253e-06,1.4016426908014652e-12
241,M15100,M,2020-01-11,0,0,0,0,0,1014.3399999999999,0.31304951685229315,0.09800000000145416
242,L47421,L,2020-01-11,0,0,0,0,0,1014.4800000000001,0.3834057902555988,0.1470000000015202
243,L47422,L,2020-01-11,0,0,0,1,0,1014.6200000000001,0.38340579025570254,0.14700000000159977
244,L47423,L,2020-01-11,0,0,0,0,0,1014.76,0.3130495168526744,0.09800000000169287
245,M15104,M,2020-01-11,0,0,0,0,0,1014.9,1.3414562942801022e-06,1.7995049894637044e-12
246,M15105,M,2020-01-11,0,0,0,0,0,1014.9,1.3414562942801022e-06,1.7995049894637044e-12
247,L47426,L,2020-01-11,0,0,0,0,0,1014.9,1.3414562942801022e-06,1.7995049894637044e-12
248,L47427,L,2020-01-11,0,0,0,0,0,1014.9,1.3414562942801022e-06,1.7995049894637044e-12
249,L47428,L,2020-01-11,0,0,0,1,0,1014.9,1.3414562942801022e-06,1.7995049894637044e-12
250,L47429,L,2020-01-11,0,0,0,1,0,1014.9,1.3414562942801022e-06,1.7995049894637044e-12
251,L47430,L,2020-01-11,0,0,0,0,0,1014.9,1.3414562942801022e-06,1.7995049894637044e-12
252,M15111,M,2020-01-11,0,0,0,0,0,1014.9,1.3414562942801022e-06,1.7995049894637044e-12
253,L47432,L,2020-01-11,0,0,0,0,0,1014.9,1.3414562942801022e-06,1.7995049894637044e-12
254,L47433,L,2020-01-11,0,0,0,0,0,1014.9,1.3414562942801022e-06,1.7995049894637044e-12
255,L47434,L,2020-01-11,0,0,0,0,0,1014.9,1.3414562942801022e-06,1.7995049894637044e-12
256,L47435,L,2020-01-11,0,0,0,0,0,1014.9,1.3414562942801022e-06,1.7995049894637044e-12
257,L47436,L,2020-01-11,0,0,0,0,0,1014.9,1.3414562942801022e-06,1.7995049894637044e-12
258,L47437,L,2020-01-11,0,0,0,0,0,1014.9,1.3414562942801022e-06,1.7995049894637044e-12
259,L47438,L,2020-01-11,0,0,0,0,0,1014.9,1.3414562942801022e-06,1.7995049894637044e-12
260,M15119,M,2020-01-11,0,0,1,0,0,1014.9,1.3414562942801022e-06,1.7995049894637044e-12
261,M15120,M,2020-01-11,0,0,0,0,0,1014.9,1.3414562942801022e-06,1.7995049894637044e-12
262,L47441,L,2020-01-11,0,0,0,0,0,1014.9,1.3414562942801022e-06,1.7995049894637044e-12
263,M15122,M,2020-01-11,0,0,0,0,0,1014.9,1.3414562942801022e-06,1.7995049894637044e-12
264,M15123,M,2020-01-11,0,0,0,0,0,1014.9,1.3414562942801022e-06,1.7995049894637044e-12
265,L47444,L,2020-01-12,0,0,0,0,0,1014.64,0.5813776741513328,0.3380000000016133
266,L47445,L,2020-01-12,0,0,0,0,0,1014.3799999999999,0.7120393247577367,0.5070000000014536
267,H29680,H,2020-01-12,0,0,0,0,0,1014.1200000000001,0.7120393247576433,0.5070000000013206
268,L47447,L,2020-01-12,0,0,0,0,0,1013.86,0.5813776741509641,0.33800000000118463
269,H29682,H,2020-01-12,0,0,0,0,0,1013.6,1.022604061645784e-06,1.0457190668944543e-12
270,L47449,L,2020-01-12,0,0,0,0,0,1013.6,1.022604061645784e-06,1.0457190668944543e-12
271,H29684,H,2020-01-12,0,0,0,0,0,1013.6,1.022604061645784e-06,1.0457190668944543e-12
272,M15131,M,2020-01-12,0,0,0,0,0,1013.6,1.022604061645784e-06,1.0457190668944543e-12
273,L47452,L,2020-01-12,0,0,0,0,0,1013.6,1.022604061645784e-06,1.0457190668944543e-12
274,L47453,L,2020-01-12,0,0,0,0,0,1013.6,1.022604061645784e-06,1.0457190668944543e-12
275,L47454,L,2020-01-12,0,0,0,0,0,1013.6,1.022604061645784e-06,1.0457190668944543e-12
276,L47455,L,2020-01-12,0,0,0,0,0,1013.6,1.022604061645784e-06,1.0457190668944543e-12
277,M15136,M,2020-01-12,0,0,0,0,0,1013.6,1.022604061645784e-06,1.0457190668944543e-12
278,H29691,H,2020-01-12,0,0,0,0,0,1013.6,1.022604061645784e-06,1.0457190668944543e-12
279,M15138,M,2020-01-12,0,0,0,0,0,1013.6,1.022604061645784e-06,1.0457190668944543e-12
280,L47459,L,2020-01-12,0,0,0,0,0,1013.6,1.022604061645784e-06,1.0457190668944543e-12
281,M15140,M,2020-01-12,0,0,0,0,0,1013.6,1.022604061645784e-06,1.0457190668944543e-12
